gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,object_id,flaeche,id_wahllok,wahlbez_nr,landtagswa
61,Evangelische Kindertageseinrichtung Paul-Gerhardt,33604.000000000000000,Bielefeld,Diesterwegstraße,7.000000000000000,,,,468716.880030000000261,5762111.979360000230372,65,"002.3",225524.355302000010852,23.000000000000000,"2","92"
85,KiTa Kinderinsel,33604.000000000000000,Bielefeld,Ehlentruper Weg,58.000000000000000,,,,468848.182030000025406,5762454.468360000289977,65,"002.3",225524.355302000010852,23.000000000000000,"2","92"
87,"Integrative KiTa ""Die Waldmäuse e.V.""",33605.000000000000000,Bielefeld,Am Kämpchen,5.000000000000000,,,,469523.512029999983497,5761302.233359999954700,23,"028.5",1507245.286001000087708,59.000000000000000,"28","93"
52,Kindergarten Hellenkamp,33604.000000000000000,Bielefeld,Hellenkamp,3.000000000000000,,,,469746.798030000005383,5761048.722360000014305,24,"028.7",1919765.766038999892771,59.000000000000000,"28","93"
55,Ev. Familienzentrum Karl-Siebold,33611.000000000000000,Bielefeld,Am Balgenstück,27.000000000000000,d,x,,470067.660030000028200,5766977.929359999485314,68,"012.5",351414.973659000010230,61.000000000000000,"12","92"
174,Ev. KiTa unterm Regenbogen,33659.000000000000000,Bielefeld,Schopenhauerweg,12.000000000000000,,,,469268.922030000074301,5757950.334359999746084,15,"032.2",7281283.179996999911964,17.000000000000000,"32","93"
99,Kath. Familienzentrum KiTa Christkönig,33613.000000000000000,Bielefeld,Weihestraße,5.000000000000000,,x,,467071.801029999973252,5766138.675359999760985,16,"010.5",561396.393338000052609,13.000000000000000,"10","92"
140,städt. KiTa Kipps Hof,33613.000000000000000,Bielefeld,Kleekampweg,38.000000000000000,,,x,466407.256029999989551,5766301.196360000409186,16,"010.5",561396.393338000052609,13.000000000000000,"10","92"
2,AWO Familienzentrum/ KiTa Am Stadion,33689.000000000000000,Bielefeld,Am Stadion,97.000000000000000,,x,,472594.901019999990240,5755808.170370000414550,18,"030.4",337993.335250000003725,15.000000000000000,"30","93"
29,DRK Kita und Familienzentrum Bullerbü,33689.000000000000000,Bielefeld,Travestraße,25.000000000000000,a,x,,471961.979020000027958,5755945.031369999982417,19,"030.5",648868.606702000019141,5.000000000000000,"30","93"
98,Kath. KiTa St. Thomas Morus,33689.000000000000000,Bielefeld,Rheinallee,48.000000000000000,,x,,471440.023020000022370,5755774.101370000280440,19,"030.5",648868.606702000019141,5.000000000000000,"30","93"
142,städt. KiTa Lämershagen,33699.000000000000000,Bielefeld,Lämershagener Straße,320.000000000000000,,,x,473921.070019999984652,5758110.552360000088811,20,"029.6",8345324.544045000337064,29.000000000000000,"29","93"
79,Familienzentrum Kinderhaus Am Alten Dreisch,33605.000000000000000,Bielefeld,Am Alten Dreisch,16.000000000000000,b,x,,471703.542019999993499,5760043.591359999962151,22,"027.6",1211498.251668999902904,31.000000000000000,"27","93"
54,Evangelische Kindertageseinrichtung Gustav-Adolf,33605.000000000000000,Bielefeld,Lipper Hellweg,269.000000000000000,,,,471908.885019999986980,5760346.951360001228750,22,"027.6",1211498.251668999902904,31.000000000000000,"27","93"
81,KiTa Sternsegler,33739.000000000000000,Bielefeld,Amtsstraße,17.000000000000000,,,,466853.150030000018887,5771749.266350000165403,30,"020.2",2392156.681334999855608,64.000000000000000,"20","94"
50,Ev. Kindertagesstätte und Familienzentrum Erdenreich,33617.000000000000000,Bielefeld,Bethelweg,84.000000000000000,,x,,468150.959030000027269,5761430.706360000185668,60,"013.6",973691.223894000053406,58.000000000000000,"13","92"
194,KiTa Normannenstraße,33647.000000000000000,Bielefeld,Normannenstraße,20.000000000000000,,,,466263.182030000025406,5759984.742359999567270,74,"015.3",253830.621584999986226,83.000000000000000,"15","93"
175,Ev. KiTa Louise-Scheppler,33647.000000000000000,Bielefeld,Wikingerstraße,15.000000000000000,b,x,,466370.495029999932740,5759900.022359999828041,74,"015.3",253830.621584999986226,83.000000000000000,"15","93"
