gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,wahlbez_nr,wahlbezirk,landtagswa,flaeche
59,Evangelische Kindertageseinrichtung Milse,33729.000000000000000,Bielefeld,Elverdisser Straße,74.000000000000000,,,,474146.227019999991171,5767805.690349999815226,9,"23",Milse / Altenhagen,"93",13905060.894137799739838
58,Evangelische Kindertageseinrichtung Matthäus,33613.000000000000000,Bielefeld,Am Brodhagen,34.000000000000000,,,,466846.578029999975115,5765668.224360000342131,10,"9",Universität,"92",3302451.894317009951919
74,Ev. Bonhoeffer Beschäftigtenkita der Universität Bielefeld,33615.000000000000000,Bielefeld,Jakob-Kaiser-Straße,2.000000000000000,b,,,466230.832030000048690,5765009.180359999649227,10,"9",Universität,"92",3302451.894317009951919
109,Montessori Kinderhaus Gellershagen,33613.000000000000000,Bielefeld,Kopernikusstraße,70.000000000000000,,,,466640.133030000026338,5765505.362359999679029,10,"9",Universität,"92",3302451.894317009951919
127,städt. KiTa Bültmannshof,33615.000000000000000,Bielefeld,Schloßhofstraße,143.000000000000000,e,,x,466322.457029999990482,5765519.839359999634326,10,"9",Universität,"92",3302451.894317009951919
131,städt. KiTa Gustav-Freytag-Straße,33613.000000000000000,Bielefeld,Gustav-Freytag-Straße,17.000000000000000,,,x,466769.615029999986291,5765439.948359999805689,10,"9",Universität,"92",3302451.894317009951919
161,KiTa am Voltmannshof,33615.000000000000000,Bielefeld,Konsequenz,37.000000000000000,,,,465309.712029999995138,5764991.745360000059009,10,"9",Universität,"92",3302451.894317009951919
162,KiTa Kinderzimmer,33615.000000000000000,Bielefeld,Universitätsstraße,19.000000000000000,,,,465532.919029999990016,5765333.592360000126064,10,"9",Universität,"92",3302451.894317009951919
163,Uni-KiTa,33615.000000000000000,Bielefeld,Konsequenz,41.000000000000000,,,,465234.744030000001658,5765019.116360000334680,10,"9",Universität,"92",3302451.894317009951919
48,Ev. Kindertagesstätte Lichtblick,33602.000000000000000,Bielefeld,Gadderbaumer Straße,33.000000000000000,b,,,467301.091030000010505,5762649.859360000118613,11,"13",Gadderbaum / Bethel,"92",8696477.233940750360489
