X,Y,gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,statistische_raumeinheit_name,statist_raumeinheit_id,maennlich,weiblich,null_bis_unter_18,proz_0_bis_unter_18,gleich_18_bis_unter_65,proz_18_bis_unter_65,gleich_65_u_aelter,proz_65_u_aelter,durchschnittsalter,einw_ges,deutsch_ohne_migrationshintergrund,deutsch_mit_migrationshintergrund,auslaendisch,proz_hhmitkindern_an_allenhh,abs_bev_entwicklung_5jahre,proz_bev_entwicklung_5jahre
470464.44403,5764266.82836,10,AWO KiTa Kleine Kampe,33607.000000000000000,Bielefeld,Auf dem Langen Kampe,73.000000000000000,a,x,,470464.444030000013299,5764266.828360000625253,35,Stat. Raumeinheit 035,35,1729,1756,532,"15,3",2267,"65,1",686,"19,7","42,8",3485,1548,869,1068,"16,2",109,"3,2"
470547.96903,5764355.82336,97,Kath. KiTa und Familienzentrum St. Meinolf,33607.000000000000000,Bielefeld,Am Großen Holz,46.000000000000000,a,x,,470547.969029999978375,5764355.823359999805689,35,Stat. Raumeinheit 035,35,1729,1756,532,"15,3",2267,"65,1",686,"19,7","42,8",3485,1548,869,1068,"16,2",109,"3,2"
470908.66703,5764994.77436,133,städt. KiTa Heeper Fichten,33609.000000000000000,Bielefeld,Carl-Hoffmann-Straße,18.000000000000000,a,x,x,470908.667030000069644,5764994.774360000155866,36,Stat. Raumeinheit 036,36,1162,1216,388,"16,3",1538,"64,7",452,"19","42,8",2378,1291,547,540,"16,2",-28,"-1,2"
470923.328918054,5765081.51204097,217,AWO KiTa Am Heeper Wald,33609.000000000000000,Bielefeld,Heinrich-Forke-Str.,5.000000000000000,,,,,,36,Stat. Raumeinheit 036,36,1162,1216,388,"16,3",1538,"64,7",452,"19","42,8",2378,1291,547,540,"16,2",-28,"-1,2"
469358.78803,5765324.94136,152,städt. KiTa Stadtheider Straße,33609.000000000000000,Bielefeld,Stadtheider Straße,10.000000000000000,a,x,x,469358.788029999996070,5765324.941359999589622,37,Stat. Raumeinheit 037,37,679,641,257,"19,5",889,"67,3",174,"13,2","38",1320,415,338,567,"20,1",-66,"-4,8"
470664.54503,5765040.71536,66,Evangelische Kindertageseinrichtung Ziegelstraße,33609.000000000000000,Bielefeld,Ziegelstraße,64.000000000000000,a,,,470664.545029999979306,5765040.715359999798238,38,Stat. Raumeinheit 038,38,908,905,289,"15,9",1233,"68",291,"16,1","40,9",1813,842,447,524,"17,7",-7,"-0,4"
470151.070793103,5765515.99358621,205,DRK Kita Zauberflöte,33609.000000000000000,Bielefeld,Jöllheide,6.000000000000000,,,,,,39,Stat. Raumeinheit 039,39,1032,1043,418,"20,1",1436,"69,2",221,"10,7","36,7",2075,665,656,754,"23,4",283,"15,8"
469743.81903,5765597.25636,32,DRK KiTa Löwenzahn,33609.000000000000000,Bielefeld,Auf der Großen Heide,52.000000000000000,,x,,469743.819030000013299,5765597.256360000930727,39,Stat. Raumeinheit 039,39,1032,1043,418,"20,1",1436,"69,2",221,"10,7","36,7",2075,665,656,754,"23,4",283,"15,8"
470067.66003,5766977.92936,55,Ev. Familienzentrum Karl-Siebold,33611.000000000000000,Bielefeld,Am Balgenstück,27.000000000000000,d,x,,470067.660030000028200,5766977.929359999485314,41,Stat. Raumeinheit 102,102,1192,1277,572,"23,2",1431,"58",466,"18,9","40,5",2469,953,780,736,"27,5",-15,"-0,6"
469016.29503,5765915.39836,118,Bewegungskita Purzelbaum,33609.000000000000000,Bielefeld,Schillerstraße,29.000000000000000,,,,469016.295029999979306,5765915.398359999991953,42,Stat. Raumeinheit 103,103,1144,1266,377,"15,6",1364,"56,6",669,"27,8","46,9",2410,1366,692,352,"17,1",-51,"-2,1"
469703.89103,5766319.36736,149,städt. KiTa Plaßstraße,33611.000000000000000,Bielefeld,Plaßstraße,72.000000000000000,b,x,x,469703.891029999998864,5766319.367359999567270,42,Stat. Raumeinheit 103,103,1144,1266,377,"15,6",1364,"56,6",669,"27,8","46,9",2410,1366,692,352,"17,1",-51,"-2,1"
469024.886,5767551.25694118,208,Kita Am Herrengarten,33611.000000000000000,Bielefeld,Westerfeldstraße,26.000000000000000,,,,,,44,Stat. Raumeinheit 105,105,563,683,158,"12,7",730,"58,6",358,"28,7","48,7",1246,965,150,131,"14,7",81,"7"
469120.20003,5767277.29936,135,städt. KiTa Huchzermeierstraße,33611.000000000000000,Bielefeld,Huchzermeierstraße,16.000000000000000,,,x,469120.200030000007246,5767277.299359999597073,44,Stat. Raumeinheit 105,105,563,683,158,"12,7",730,"58,6",358,"28,7","48,7",1246,965,150,131,"14,7",81,"7"
469124.93103,5767697.63735,189,Waldorfkindergarten Bielefeld,33611.000000000000000,Bielefeld,An der Propstei,21.000000000000000,,,,469124.931030000036117,5767697.637350000441074,44,Stat. Raumeinheit 105,105,563,683,158,"12,7",730,"58,6",358,"28,7","48,7",1246,965,150,131,"14,7",81,"7"
469235.77803,5767565.73435,195,KiTa und Familienzentrum Westerfeldstraße,33611.000000000000000,Bielefeld,Westerfeldstraße,12.000000000000000,a,x,,469235.778029999986757,5767565.734349999576807,44,Stat. Raumeinheit 105,105,563,683,158,"12,7",730,"58,6",358,"28,7","48,7",1246,965,150,131,"14,7",81,"7"
468704.43161122,5767436.67622706,200,Kita Zum guten Hirten,33613.000000000000000,Bielefeld,Apfelstraße,235.000000000000000,,,,468118.867030000023078,5766289.544360000640154,44,Stat. Raumeinheit 105,105,563,683,158,"12,7",730,"58,6",358,"28,7","48,7",1246,965,150,131,"14,7",81,"7"
